*	300nm	310nm	320nm	330nm	340nm	350nm	360nm	370nm	380nm	390nm	400nm	410nm	420nm	430nm	440nm	450nm	460nm	470nm	480nm	490nm	500nm	510nm	520nm	530nm	540nm	550nm	560nm	570nm	580nm	590nm	600nm	610nm	620nm	630nm	640nm	650nm	660nm	670nm	680nm	690nm	700nm	710nm	720nm	730nm	740nm	750nm	760nm	770nm	780nm	790nm	800nm	810nm	820nm	830nm	840nm	850nm	
A11	3153	4767	4455	4575	3934	3454	3048	2522	1832	1222	1066	953	927	911	902	912	807	865	831	776	716	639	591	523	471	408	377	313	263	232	198	171	144	126	107	92	79	62	53	45	36	32	25	24	16	14	14	12	10	11	8	5	5	14	13	29	
A12	2631	4073	3577	3443	2860	2384	2096	1713	1263	864	770	708	694	683	687	689	604	642	619	583	539	496	465	413	372	317	293	244	210	179	156	127	113	97	83	66	60	52	44	39	30	29	23	16	16	14	11	12	10	8	8	5	5	7	13	29	
B1	4262	6127	5877	6066	4867	4317	3953	3270	2376	1534	1324	1196	1129	1074	1041	1023	902	945	903	854	799	739	671	613	545	469	435	362	322	280	245	211	184	152	131	113	96	83	73	55	45	39	35	29	24	19	17	16	10	12	13	9	11	14	13	29	
B2	3543	5348	4968	4404	3652	3159	2886	2486	1888	1319	1183	1124	1083	1062	1061	1059	942	984	948	890	823	774	700	624	552	499	451	380	326	290	242	221	184	157	137	113	92	78	73	59	48	41	28	27	31	16	17	19	17	15	13	10	11	15	13	29	
B3	3603	5169	4680	4420	3520	3003	2724	2325	1763	1238	1113	1046	1016	999	986	993	861	916	892	823	776	712	643	583	521	455	417	343	309	263	229	195	167	140	120	102	86	76	67	54	45	38	31	24	26	19	14	15	10	11	21	9	11	15	0	29	
B4	2925	4368	3799	3241	2430	2047	1811	1504	1181	842	776	780	773	757	762	734	661	693	678	609	575	515	476	436	385	337	312	260	226	202	169	146	128	109	92	78	63	58	49	42	36	29	26	21	19	17	12	9	10	8	8	9	11	15	13	59	
B5	2366	3563	3249	3238	2620	2312	2142	1778	1310	883	779	693	663	645	630	634	563	586	572	536	501	458	414	377	340	293	271	226	199	165	150	123	105	92	78	65	58	47	41	35	29	26	21	16	18	16	9	9	10	8	9	10	11	7	13	30	
B6	3584	5486	5041	4878	3931	3353	3031	2519	1876	1315	1183	1093	1062	1054	1054	1044	932	981	949	885	846	771	692	641	552	503	453	375	323	285	242	207	177	151	132	113	92	77	62	53	43	36	31	27	21	22	17	16	14	15	8	9	11	7	13	30	
B7	3691	5300	4867	4607	3698	3056	2688	2224	1650	1153	1030	951	909	900	900	893	792	840	822	769	713	654	596	547	471	418	380	321	276	244	210	178	150	131	107	93	77	68	57	47	39	32	26	22	18	14	15	12	10	8	13	9	11	7	13	29	
B8	2869	4170	3659	3617	2901	2502	2190	1755	1318	890	795	728	702	684	680	684	609	640	637	586	550	506	465	417	369	315	301	250	214	188	163	129	117	100	85	75	63	51	43	38	32	29	23	19	16	14	14	9	10	7	8	10	5	7	13	29	
B9	3371	4968	4582	4352	3548	3027	2763	2344	1687	1160	986	884	841	791	787	750	673	706	687	644	588	542	500	449	394	353	326	286	247	212	184	156	127	107	93	76	65	58	46	39	36	29	23	19	16	14	12	9	11	11	9	9	11	7	13	30	
B10	2624	3998	3631	3388	2774	2308	2066	1705	1239	851	726	686	646	618	605	598	519	575	544	504	478	431	393	359	318	281	261	230	205	173	145	124	99	94	76	67	56	48	38	36	23	22	20	19	16	14	9	6	10	8	9	9	5	7	13	30	
B11	3129	4812	4505	4609	3727	3260	2977	2490	1782	1209	1050	989	967	929	933	924	819	865	847	792	737	669	604	541	490	427	387	318	279	242	203	172	148	128	106	90	77	65	51	44	36	31	23	21	18	16	15	12	10	8	13	9	11	7	13	30	
B12	2675	3988	3517	3319	2603	2227	1967	1650	1206	846	742	697	678	651	645	650	571	604	592	561	521	468	440	391	348	310	280	237	207	181	156	125	108	94	79	65	57	47	40	33	30	22	20	16	16	14	11	9	7	7	8	9	6	7	13	30	
C1	3863	5970	5794	6167	5012	4550	4311	3653	2675	1713	1438	1228	1123	1049	1011	975	851	897	846	796	741	680	622	571	502	452	413	352	303	268	219	195	170	150	117	105	91	73	58	53	49	41	29	26	21	19	17	12	13	12	9	14	11	14	26	29	
C2	3766	5328	4940	4335	3408	2841	2575	2251	1708	1184	1071	1011	979	965	953	935	830	888	839	780	727	669	620	554	487	440	408	346	300	263	226	197	161	146	121	102	88	74	66	53	50	35	32	30	21	22	18	16	17	11	13	14	11	14	39	0	
